Button.left_dwell|Button.left_interval|Button.left_flight|Key.tab|Key.tab_dwell|Key.tab_interval|Key.tab_flight|Key.shift|Key.shift_dwell|Key.shift_interval|Key.shift_flight|Key.ctrl|Key.ctrl_dwell|Key.ctrl_interval|Key.ctrl_flight|Key.cmd|Key.cmd_dwell|Key.cmd_interval|Key.cmd_flight|Key.space|Key.space_dwell|Key.space_interval|Key.space_flight|Key.enter|Key.enter_dwell|Key.enter_interval|Key.enter_flight|Key.backspace|Key.backspace_dwell|Key.backspace_interval|Key.backspace_flight|is_insider
82.18|472.27|469.34|0.5727923627684964|86.31|478.56|502.38|7.6968973747016705|307.92|178.98|398.53|0.0|0|0|0|1.2887828162291168|144.5|303.47|392.42|17.935560859188545|87.81|341.77|401.63|1.7899761336515514|71.7|448.26|479.96|13.353221957040573|65.12|190.68|247.75|0
75.87|479.03|460.12|0.0|0|0|0|4.77088948787062|312.07|203.07|362.59|0.4851752021563342|270.5|553.83|491.0|1.0512129380053907|109.0|252.23|361.23|2.830188679245283|87.49|337.57|396.49|0.16172506738544473|42.0|10.0|52.0|5.9838274932614555|67.15|203.36|243.49|0
94.25|477.76|422.48|0.20100502512562815|70.5|414.5|485.0|7.939698492462312|261.86|142.48|366.37|0.0|0|0|0|1.206030150753769|208.83|272.33|397.83|10.653266331658292|86.58|350.75|409.03|3.6180904522613067|68.44|405.86|446.53|13.969849246231156|65.89|174.32|225.83|0
10.33|556.47|514.17|6.126237623762377|175.98|477.89|496.3|4.8638613861386135|469.23|223.51|494.27|0.0|0|0|0|6.46039603960396|284.76|114.47|364.75|8.502475247524753|96.22|286.98|370.1|1.8564356435643565|90.34|417.72|368.06|8.205445544554456|139.16|290.35|393.31|0
27.35|464.8|492.16|2.222222222222222|153.42|510.17|413.58|2.962962962962963|375.38|122.5|497.88|0.0|0|0|0|5.0|299.74|218.7|407.33|1.4814814814814814|103.12|192.88|296.0|0.37037037037037035|42.0|454.0|496.0|0.7407407407407407|73.25|360.0|433.25|0
38.48|503.4|467.41|0.6222222222222222|120.14|302.43|279.71|4.177777777777778|486.64|244.15|475.47|0.0|0|0|0|1.2444444444444445|269.93|277.57|404.64|6.488888888888889|88.05|279.22|367.27|2.577777777777778|82.66|485.21|567.86|5.955555555555556|125.85|316.0|382.15|0
159.12|464.79|492.13|3.3859510655090763|182.67|453.64|496.45|2.1783741120757694|437.52|482.68|409.34|0.0473559589581689|658.0|423.5|581.5|3.480662983425414|206.05|146.44|311.67|5.445935280189424|119.72|365.78|463.77|0.8050513022888713|83.65|538.09|474.68|4.830307813733228|198.91|362.85|419.6|0
153.73|465.89|465.45|4.515648286140089|188.22|466.55|496.36|2.1013412816691504|503.6|414.64|492.7|0.0|0|0|0|4.560357675111773|237.86|133.98|332.63|0.7600596125186289|112.18|455.65|332.53|1.4754098360655736|89.42|474.94|443.15|3.8450074515648285|433.27|575.19|485.2|0
127.38|413.77|433.62|4.434050514499532|169.75|367.3|435.78|3.255378858746492|495.26|388.29|521.48|0.0|0|0|0|3.648269410664172|354.55|163.09|363.8|5.612722170252573|131.2|382.07|423.27|1.5715622076707203|126.36|325.89|345.11|6.005612722170253|177.12|304.38|397.39|0
108.83|476.53|508.13|0.05359535506922733|155.5|777.5|433.0|1.9830281375614112|419.49|344.0|466.19|0.0|0|0|0|0.6967396158999553|335.04|232.23|336.5|5.011165698972755|89.43|425.84|477.84|0.9647163912460919|70.11|509.53|496.31|5.466726217061187|156.11|339.47|422.05|0
76.46|459.28|475.5|3.195266272189349|91.98|415.69|441.0|3.0532544378698225|415.28|224.7|523.7|0.0|0|0|0|0.14201183431952663|140.0|86.0|226.0|1.2071005917159763|84.76|435.47|520.24|0.07100591715976332|0.0|0.0|0.0|1.7751479289940828|149.6|311.92|381.52|0
98.57|441.08|477.79|0.6486486486486487|88.29|383.93|472.21|2.918918918918919|402.27|374.73|475.41|0.0|0|0|0|0.416988416988417|433.78|130.89|564.67|11.11969111969112|73.61|340.23|384.68|3.1042471042471043|79.09|448.42|497.66|7.737451737451738|163.26|342.72|392.21|0
29.05|472.66|467.81|6.228813559322035|149.64|482.15|478.73|0.1271186440677966|192.5|172.0|364.5|0.0|0|0|0|6.927966101694915|201.36|85.12|268.13|8.135593220338983|95.37|247.04|318.97|1.9703389830508475|82.45|392.61|442.81|10.360169491525424|110.91|214.75|301.12|0
118.38|473.02|502.51|7.8438030560271645|140.49|397.34|511.86|0.10186757215619695|144.0|778.0|922.0|0.0|0|0|0|7.538200339558574|225.32|59.81|285.14|1.3242784380305603|99.31|431.0|376.46|0.30560271646859083|55.67|562.0|284.33|5.500848896434635|171.72|182.72|335.93|0
158.74|398.98|406.21|0.40404040404040403|136.5|280.25|416.75|0.40404040404040403|544.75|237.0|531.75|0.0|0|0|0|1.5151515151515151|278.73|263.73|409.13|8.383838383838384|108.36|322.55|382.72|5.353535353535353|82.47|453.72|460.72|11.01010101010101|94.6|260.51|336.76|0
80.09|497.88|488.8|0.0|0|0|0|3.0|370.87|251.62|464.59|0.0|0|0|0|0.868421052631579|204.73|213.27|372.55|5.25|76.2|450.08|458.61|1.3026315789473686|65.33|446.45|451.18|6.0394736842105265|167.95|377.82|415.05|0
46.8|470.4|478.24|0.0|0|0|0|3.1932773109243695|374.45|334.13|550.68|0.0|0|0|0|0.5042016806722689|146.0|86.67|232.67|2.3529411764705883|73.75|427.0|500.75|0.08403361344537814|0.0|0.0|0.0|3.865546218487395|150.72|326.0|433.24|0
48.41|477.83|476.66|0.5257393209200438|162.75|190.0|227.75|3.3515881708652793|397.9|272.04|415.04|0.0|0|0|0|1.380065717415115|291.43|210.24|406.43|6.1774370208105145|88.57|427.67|463.05|3.154435925520263|68.04|515.04|499.75|6.571741511500548|161.11|319.11|360.22|0
147.27|526.87|522.63|0.0|0|0|0|2.4906865353911654|368.97|266.53|468.83|0.09579563597658329|355.67|282.33|638.0|0.5428419372006387|324.41|351.06|381.35|9.483767961681746|78.49|289.44|354.46|0.41511442256519426|66.54|466.46|379.15|10.952634379989355|262.82|198.86|380.05|0
133.35|442.89|485.33|0.0|0|0|0|8.02675585284281|428.68|324.19|590.36|0.10033444816053512|149.0|801.0|950.0|1.5050167224080266|374.07|274.67|448.73|1.0033444816053512|104.9|362.2|467.1|4.214046822742475|67.95|456.52|476.86|2.508361204013378|70.48|222.0|292.48|0
146.2|443.25|453.64|0.8780487804878049|89.25|374.83|380.75|3.951219512195122|402.06|202.63|438.02|0.07317073170731708|412.0|171.0|583.0|0.8048780487804879|258.64|272.0|348.82|7.024390243902439|79.38|336.3|405.26|2.1219512195121952|64.17|443.31|507.48|4.975609756097561|74.16|207.38|281.54|0
211.75|561.38|513.51|0.0|0|0|0|1.9069239500567536|235.86|188.54|388.68|0.0681044267877412|528.0|44.0|572.0|3.95005675368899|153.31|56.16|209.47|11.986379114642451|92.37|196.45|271.78|1.2258796821793416|85.67|432.17|406.72|9.05788876276958|284.12|287.5|458.84|0
138.74|466.59|481.88|0.0|0|0|0|3.4285714285714284|196.33|25.54|221.88|0.0|0|0|0|1.1428571428571428|160.62|52.88|213.5|1.4285714285714286|105.1|327.2|432.3|0.7142857142857143|61.2|380.0|441.2|2.7142857142857144|75.21|222.53|297.74|0
252.58|458.51|480.32|0.5042016806722689|104.0|406.33|510.33|6.722689075630252|183.07|121.33|279.4|0.0|0|0|0|4.873949579831932|157.48|56.76|214.24|27.058823529411764|84.37|225.15|303.31|4.201680672268908|80.92|546.84|547.76|2.5210084033613445|77.73|438.73|449.8|0
71.4|359.63|383.41|0.0|0|0|0|9.083665338645417|315.79|100.29|416.08|0.0|0|0|0|0.9561752988047808|118.5|254.5|373.0|14.581673306772908|83.93|245.74|329.67|1.195219123505976|46.6|460.4|507.0|16.254980079681275|52.53|121.56|174.09|1
98.15|514.04|498.98|0.0|0|0|0|4.695652173913043|306.67|234.78|374.78|0.0|0|0|0|5.217391304347826|161.15|325.65|336.8|7.0434782608695645|83.59|196.74|243.3|1.0434782608695652|44.5|268.25|312.75|11.217391304347826|56.98|169.23|226.21|1
120.28|490.19|451.39|0.0|0|0|0|8.025477707006369|337.9|229.71|448.57|0.0|0|0|0|2.2929936305732483|179.67|191.17|287.5|11.847133757961783|82.13|299.27|381.4|2.1019108280254777|62.91|352.18|415.09|14.331210191082802|57.01|194.97|251.99|1
6.72|385.59|392.31|6.352941176470588|154.41|432.52|512.85|4.0|358.47|123.35|481.82|0.0|0|0|0|5.647058823529412|242.25|79.42|280.0|2.3529411764705883|99.2|155.0|254.2|0.9411764705882353|55.25|289.0|344.25|2.3529411764705883|70.1|213.5|283.6|1
27.02|443.22|449.84|0.0|0|0|0|2.9032258064516125|384.17|234.92|535.75|0.0|0|0|0|2.419354838709677|348.4|133.6|382.0|4.354838709677419|96.89|346.89|443.78|0.48387096774193544|54.5|197.5|252.0|0.48387096774193544|62.5|108.5|171.0|1
66.85|503.83|473.12|10.08|157.43|468.21|506.6|4.56|377.05|285.68|504.84|0.0|0|0|0|10.559999999999999|238.36|70.93|309.3|7.68|89.5|265.69|323.94|0.48|35.5|102.0|137.5|7.919999999999999|247.94|281.94|378.36|1
127.35|397.26|465.79|7.5|171.48|447.21|515.24|1.0344827586206897|570.5|709.25|529.75|0.0|0|0|0|6.982758620689655|577.33|366.56|425.37|10.862068965517242|121.48|283.98|405.45|1.293103448275862|72.6|424.8|497.4|3.6206896551724137|167.86|171.64|339.5|1
105.65|417.91|486.52|3.391304347826087|166.15|430.54|365.92|2.3478260869565215|705.0|480.22|629.67|0.0|0|0|0|2.869565217391304|297.91|234.73|441.73|4.956521739130435|116.79|385.0|396.53|0.5217391304347826|35.5|152.0|187.5|3.9130434782608696|147.13|318.47|465.6|1
126.89|402.9|446.46|5.395095367847412|173.85|360.7|473.94|0.8174386920980927|635.2|262.2|497.4|0.32697547683923706|753.5|725.0|478.5|5.55858310626703|360.32|219.38|462.06|6.539509536784742|121.22|346.62|417.85|0.32697547683923706|49.0|221.0|270.0|2.452316076294278|105.53|225.27|330.8|1
11.28|417.92|429.2|6.6141732283464565|121.21|457.61|471.68|6.141732283464567|406.54|161.65|452.81|0.0|0|0|0|7.086614173228346|157.47|56.8|214.27|6.141732283464567|64.15|482.54|546.69|2.3622047244094486|66.5|231.8|298.3|8.26771653543307|64.31|305.66|369.97|1
117.65|483.99|434.97|0.0|0|0|0|1.8620689655172415|340.11|404.22|411.0|0.0|0|0|0|1.0344827586206897|232.6|125.0|357.6|3.3103448275862073|70.88|517.0|525.38|0.20689655172413796|0.0|0.0|0.0|3.517241379310345|68.47|370.47|438.94|1
164.87|400.03|435.87|0.0|0|0|0|5.732484076433121|443.8|341.87|685.67|0.0|0|0|0|1.1464968152866242|170.67|54.17|224.83|5.732484076433121|77.13|403.33|480.47|0.38216560509554137|51.0|367.5|418.5|13.184713375796179|117.71|232.59|335.81|1
157.96|365.86|445.39|3.673469387755102|111.13|186.07|297.2|0.2448979591836735|132.0|24.0|156.0|0.0|0|0|0|1.7142857142857144|330.71|158.14|346.0|4.653061224489797|92.84|347.42|440.26|3.428571428571429|73.43|642.93|502.07|7.102040816326531|174.66|187.28|361.93|1
98.94|448.25|488.37|2.4489795918367347|165.5|509.75|425.25|0.30612244897959184|184.0|281.0|465.0|0.0|0|0|0|4.285714285714286|304.5|137.71|299.36|5.816326530612245|101.74|235.74|337.47|1.2244897959183674|61.25|393.25|454.5|4.8979591836734695|175.19|191.19|366.38|1
201.88|399.58|419.64|0.0|0|0|0|0.0|0|0|0|0.0|0|0|0|2.1862348178137654|236.78|55.67|292.44|14.574898785425102|92.45|308.13|400.58|0.4858299595141701|42.0|133.5|175.5|5.829959514170041|95.08|157.62|252.71|1
51.93|337.86|344.34|0.0|0|0|0|5.0602409638554215|476.38|222.43|555.95|0.0|0|0|0|0.7228915662650601|156.33|78.67|235.0|3.614457831325301|69.87|380.6|450.47|1.686746987951807|47.71|478.71|526.43|1.686746987951807|67.71|375.29|443.0|1
6.96|446.49|453.45|0.2631578947368421|88.0|764.0|852.0|3.1578947368421053|333.5|217.25|467.42|0.0|0|0|0|1.3157894736842106|157.2|97.0|254.2|6.315789473684211|74.67|513.42|588.08|0.5263157894736842|44.0|0.0|44.0|4.2105263157894735|73.62|340.44|351.56|1
170.12|460.24|492.43|0.2510460251046025|87.0|927.0|14.0|4.518828451882845|396.72|362.56|370.39|0.0|0|0|0|3.7656903765690375|286.07|193.0|345.73|4.7698744769874475|79.05|427.16|348.32|0.2510460251046025|0.0|0.0|0.0|7.7824267782426775|251.65|403.97|365.29|1
101.41|396.7|418.75|0.0|0|0|0|5.844155844155844|314.67|151.0|465.67|0.0|0|0|0|1.1688311688311688|171.5|219.33|390.83|6.428571428571428|87.82|317.03|344.24|1.1688311688311688|55.17|366.33|421.5|2.5324675324675323|76.46|231.77|231.31|1
136.96|433.0|454.58|0.0|0|0|0|2.0792079207920793|527.29|453.14|551.86|0.594059405940594|484.5|356.0|340.5|1.4851485148514851|251.2|163.0|214.2|5.346534653465347|81.28|385.0|355.17|0.297029702970297|0.0|0.0|0.0|2.376237623762376|79.25|275.75|355.0|1
140.07|587.78|445.24|0.0|0|0|0|3.571428571428571|359.8|432.6|459.07|0.23809523809523808|513.0|841.0|354.0|2.857142857142857|396.42|270.58|333.67|5.714285714285714|85.21|319.21|362.75|0.9523809523809523|44.25|278.0|322.25|4.285714285714286|70.67|203.72|274.39|1
156.31|446.5|446.56|0.0|0|0|0|4.433497536945813|224.73|62.53|287.27|0.0|0|0|0|0.5911330049261084|152.5|29.5|182.0|9.753694581280788|82.97|322.24|344.61|1.7733990147783252|60.5|390.83|451.33|2.955665024630542|69.9|327.2|397.1|1
167.66|465.97|502.05|0.0|0|0|0|2.34375|229.6|248.0|477.6|0.0|0|0|0|4.6875|173.3|63.0|236.3|8.90625|88.84|276.63|365.47|1.40625|65.0|220.67|285.67|0.9375|87.0|132.0|219.0|1
267.34|481.75|463.38|0.0|0|0|0|3.2876712328767126|255.83|297.83|387.0|0.0|0|0|0|3.0136986301369864|197.45|50.45|247.91|13.15068493150685|80.77|282.38|342.31|0.547945205479452|37.0|82.5|119.5|3.0136986301369864|80.27|204.27|284.55|1
